"","esttrend","estseasonal","residseries","Yearfrac","year_tre","month_tre","resid"
"1",53.78740982,-22.44959414,6.262141375,1900,630.045049907482,219.999981211313,1887.88439781563
"2",53.77157264,-19.79944437,-4.072164875,1900.0833,628.711598688954,232.02723572788,1580.03901515771
"3",53.75571679,-12.13366649,6.077900416,1900.1667,627.3765755028,266.817066353274,1882.39610211851
"4",53.73988087,-1.472729798,0.432805985,1900.25,626.043230373143,315.199916421287,1714.23616828151
"5",53.7240467,7.801808243,5.074108453,1900.3333,624.710032589139,357.290831736873,1852.49446058755
"6",53.70819633,16.5053288,8.886425592,1900.4167,623.375470805373,396.790281207311,1966.0583709341
"7",53.69236906,26.02638729,-0.118799297,1900.5,622.04285398423,439.999987701125,1697.80457287438
"8",53.67654735,25.01005256,-2.686636514,1900.5833,620.710705301277,435.387525186701,1621.31208159848
"9",53.66071385,14.41755244,-1.778315559,1900.6667,619.37756392961,387.315262874521,1648.36976744635
"10",53.64490835,2.288725712,-0.733677,1900.75,618.046780088393,332.270643247233,1679.48817531573
"11",53.62911376,-13.01720783,0,1900.8333,616.716914842078,262.807264080066,1701.34344758544
"12",53.61331319,-22.44959414,0,1900.9167,615.386546094616,219.999981211313,1701.34344758544
"13",53.59754657,-22.44959414,1.752004629,1901,614.059035852826,219.999981211313,1753.53335974649
"14",53.58179699,-19.79944437,-4.182389265,1901.0833,612.732960336712,232.02723572788,1576.75557564113
"15",53.56604769,-12.13366649,1.667569564,1901.1667,611.406908395902,266.817066353274,1751.01815028145
"16",53.55033857,-1.472729798,-1.577651715,1901.25,610.08423951129,315.199916421287,1654.34727927418
"17",53.53465291,7.801808243,4.763502175,1901.3333,608.763545900406,357.290831736873,1843.2419083413
"18",53.51897411,16.5053288,-6.924352107,1901.4167,607.443429884484,396.790281207311,1495.07611115561
"19",53.50334193,26.02638729,4.970227837,1901.5,606.127239156763,439.999987701125,1849.39999374966
"20",53.48773973,25.01005256,2.802171014,1901.5833,604.813572670576,435.387525186701,1784.81643427748
"21",53.47215097,14.41755244,-10.28975257,1901.6667,603.501037799006,387.315262874521,1394.82526041956
"22",53.45661513,2.288725712,4.554616222,1901.75,602.192958659989,332.270643247233,1837.01947070712
"23",53.44111555,-13.01720783,7.976055538,1901.8333,600.887932522908,262.807264080066,1938.93964512375
"24",53.42563568,-22.44959414,2.023909336,1901.9167,599.584565918869,219.999981211313,1761.6330431261
"25",53.4102146,-22.44959414,-2.7606634,1902,598.286149286805,219.999981211313,1619.10691808809
"26",53.39483557,-19.79944437,3.604572003,1902.0833,596.991273160292,232.02723572788,1808.71890373486
"27",53.37948201,-12.13366649,-2.645864596,1902.1667,595.698541544516,266.817066353274,1622.52662337756
"28",53.36419246,-1.472729798,-1.291505606,1902.25,594.411199411748,315.199916421287,1662.87119527688
"29",53.34895013,7.801808243,1.949204777,1902.3333,593.127833085691,357.290831736873,1759.4076926289
"30",53.33373836,16.5053288,-1.639116172,1902.4167,591.847039835727,396.790281207311,1652.51633399084
"31",53.31859513,26.02638729,-4.445025363,1902.5,590.572017483519,439.999987701125,1568.93199192562
"32",53.30350357,25.01005256,-1.513593034,1902.5833,589.301345616969,435.387525186701,1656.25550307633
"33",53.28844699,14.41755244,-1.406048374,1902.6667,588.033618979534,387.315262874521,1659.4591169629
"34",53.27346277,2.288725712,2.13776858,1902.75,586.771984874366,332.270643247233,1765.02476015968
"35",53.25853401,-13.01720783,0.158636842,1902.8333,585.515020363443,262.807264080066,1706.06903033359
"36",53.24364402,-22.44959414,2.705901235,1902.9167,584.261320190219,219.999981211313,1781.94868425753
"37",53.2288296,-22.44959414,5.120721602,1903,583.013982823291,219.999981211313,1853.88300495073
"38",53.21407386,-19.79944437,-5.314666537,1903.0833,581.771586166608,232.02723572788,1543.02652584896
"39",53.19936018,-12.13366649,-2.665742503,1903.1667,580.532730857455,266.817066353274,1621.93448668847
"40",53.18472478,-1.472729798,-3.212037925,1903.25,579.300466529864,315.199916421287,1605.66106502266
"41",53.1701509,7.801808243,-1.87199626,1903.3333,578.073382033465,357.290831736873,1645.57914265264
"42",53.15562202,16.5053288,1.83900045,1903.4167,576.850086425292,396.790281207311,1756.12485076268
"43",53.14117385,26.02638729,-7.067604083,1903.5,575.633586398646,439.999987701125,1490.80882331825
"44",53.12678979,25.01005256,-0.936879542,1903.5833,574.422484274759,435.387525186701,1673.43503901555
"45",53.11245354,14.41755244,-4.130054632,1903.6667,573.215407634119,387.315262874521,1578.31455548287
"46",53.09820033,2.288725712,5.413031019,1903.75,572.015322755219,332.270643247233,1862.59051778749
"47",53.0840138,-13.01720783,-3.366843245,1903.8333,570.820852166693,262.807264080066,1601.04961827239
"48",53.06987791,-22.44959414,3.479667648,1903.9167,569.630645340385,219.999981211313,1804.99816738058
"49",53.05582749,-22.44959414,1.193723714,1904,568.447634875781,219.999981211313,1736.9029060178
"50",53.04184645,-19.79944437,0.257560562,1904.0833,567.270466034846,232.02723572788,1709.0158377632
"51",53.02791911,-12.13366649,-5.394301116,1904.1667,566.097818600526,266.817066353274,1540.65431654415
"52",53.01407986,-1.472729798,2.158606994,1904.25,564.932588125404,315.199916421287,1765.64550908821
"53",53.00031301,7.801808243,-1.602158699,1904.3333,563.773453550448,357.290831736873,1653.61724847339
"54",52.98660323,16.5053288,-0.791980434,1904.4167,562.61912412774,396.790281207311,1677.75139274747
"55",52.97298452,26.02638729,-2.499414757,1904.5,561.472462572824,439.999987701125,1626.88917134512
"56",52.95944157,25.01005256,0.730468337,1904.5833,560.332179821731,435.387525186701,1723.10313800716
"57",52.94595947,14.41755244,2.536439783,1904.6667,559.197020489494,387.315262874521,1776.90065062327
"58",52.93257179,2.288725712,3.778659554,1904.75,558.06981108673,332.270643247233,1813.90474277012
"59",52.91926364,-13.01720783,11.39790656,1904.8333,556.949297912425,262.807264080066,2040.87208372029
"60",52.9060205,-22.44959414,4.44352542,1904.9167,555.834258418643,219.999981211313,1833.7102219173
"61",52.89287552,-22.44959414,-2.343324324,1905,554.727483753045,219.999981211313,1631.53889992038
"62",52.87981418,-19.79944437,-5.780407541,1905.0833,553.627751367696,232.02723572788,1529.15271428122
"63",52.86682238,-12.13366649,4.666795986,1905.1667,552.533874077619,266.817066353274,1840.36115824179
"64",52.85393276,-1.472729798,0.218754101,1905.25,551.44860008974,315.199916421287,1707.8598443615
"65",52.84113115,7.801808243,-5.542977232,1905.3333,550.370736325256,357.290831736873,1536.22545071466
"66",52.82840387,16.5053288,-4.833780678,1905.4167,549.299130962145,396.790281207311,1557.35148271567
"67",52.81578294,26.02638729,0,1905.5,548.236480004876,439.999987701125,1701.34344758544
"68",52.80325455,25.01005256,1.286654949,1905.5833,547.181620685749,435.387525186701,1739.6712052057
"69",52.79080536,14.41755244,4.091594311,1905.6667,546.1334298099,387.315262874521,1823.22665734137
"70",52.77846671,2.288725712,-5.767235363,1905.75,545.094546127484,332.270643247233,1529.54509612851
"71",52.76622512,-13.01720783,2.350944648,1905.8333,544.063834655983,262.807264080066,1771.37499467368
"72",52.75406753,-22.44959414,1.495478829,1905.9167,543.040195775838,219.999981211313,1745.89179376691
"73",52.74202454,-22.44959414,5.107526662,1906,542.026205931042,219.999981211313,1853.48994505341
"74",52.7300829,-19.79944437,2.769323284,1906.0833,541.020749504505,232.02723572788,1783.83794363025
"75",52.71822984,-12.13366649,-9.984611015,1906.1667,540.022751293947,266.817066353274,1403.91502575953
"76",52.7064951,-1.472729798,3.06619176,1906.25,539.034715333498,315.199916421287,1792.68126483464
"77",52.69486566,7.801808243,-2.296712212,1906.3333,538.055545371497,357.290831736873,1632.9274133927
"78",52.68332897,16.5053288,-4.588705304,1906.4167,537.084184729118,396.790281207311,1564.65195557413
"79",52.67191386,26.02638729,1.501655908,1906.5,536.12306082075,439.999987701125,1746.07580082093
"80",52.6606075,25.01005256,0,1906.5833,535.171093392262,435.387525186701,1701.34344758544
"81",52.64939757,14.41755244,2.233002596,1906.6667,534.227245130254,387.315262874521,1767.86165616298
"82",52.63831196,2.288725712,2.172919392,1906.75,533.293864303452,332.270643247233,1766.07185658871
"83",52.62733811,-13.01720783,-2.310168852,1906.8333,532.369893391051,262.807264080066,1632.52655779679
"84",52.61646395,-22.44959414,6.833082928,1906.9167,531.454316129035,219.999981211313,1904.89199528824
"85",52.60571636,-22.44959414,-10.25616517,1907,530.549395746636,219.999981211313,1395.82578486265
"86",52.595083,-19.79944437,6.104322659,1907.0833,529.654093246504,232.02723572788,1883.18318596432
"87",52.58455198,-12.13366649,1.049067376,1907.1667,528.767407520172,266.817066353274,1732.59378408467
"88",52.57414918,-1.472729798,-1.301462323,1907.25,527.891517599359,315.199916421287,1662.57459778105
"89",52.56386245,7.801808243,-4.265709542,1907.3333,527.025400484244,357.290831736873,1574.27357424348
"90",52.55368016,16.5053288,-6.059055942,1907.4167,526.168076957713,396.790281207311,1520.85214513243
"91",52.54362715,26.02638729,-4.770057386,1907.5,525.321638486068,439.999987701125,1559.24971572091
"92",52.53369155,25.01005256,-5.443783097,1907.5833,524.485085644792,435.387525186701,1539.18031345123
"93",52.523862,14.41755244,-1.941461281,1907.6667,523.657461950101,387.315262874521,1643.50987109694
"94",52.51416237,2.288725712,6.297068978,1907.75,522.840777196706,332.270643247233,1888.92484514231
"95",52.50458109,-13.01720783,5.212587608,1907.8333,522.034057219346,262.807264080066,1856.61957236863
"96",52.49510713,-22.44959414,6.054440307,1907.9167,521.236373319417,219.999981211313,1881.69725634623
"97",52.48576344,-22.44959414,3.763787756,1908,520.449657829914,219.999981211313,1813.46173147982
"98",52.47653883,-19.79944437,1.822866266,1908.0833,519.672968580633,232.02723572788,1755.64423465481
"99",52.46742266,-12.13366649,-0.833802731,1908.1667,518.905409709999,266.817066353274,1676.50556156034
"100",52.45843701,-1.472729798,4.614249847,1908.25,518.148840299172,315.199916421287,1838.79587791466
"101",52.44957113,7.801808243,-4.951418794,1908.3333,517.402355224852,357.290831736873,1553.84719805843
"102",52.44081486,16.5053288,-5.046190076,1908.4167,516.665099040275,396.790281207311,1551.024086292
"103",52.43218947,26.02638729,2.241380293,1908.5,515.93886262661,439.999987701125,1768.11121673109
"104",52.42368472,25.01005256,-3.133776835,1908.5833,515.22278380129,435.387525186701,1607.99235989776
"105",52.41529097,14.41755244,2.567110325,1908.6667,514.516050900262,387.315262874521,1777.81428570529
"106",52.40702875,2.288725712,-4.895797405,1908.75,513.82039249853,332.270643247233,1555.50408603585
"107",52.39888839,-13.01720783,4.818279728,1908.8333,513.134994406113,262.807264080066,1844.87365955482
"108",52.39086085,-22.44959414,0.458687166,1908.9167,512.459095477467,219.999981211313,1715.00713460241
"109",52.38296595,-22.44959414,-2.833414746,1909,511.794364507361,219.999981211313,1616.93975123563
"110",52.37519462,-19.79944437,2.324209894,1909.0833,511.140037824322,232.02723572788,1770.57860153646
"111",52.36753847,-12.13366649,0.166082037,1909.1667,510.495409011192,266.817066353274,1706.29081289434
"112",52.36001664,-1.472729798,-7.587329783,1909.25,509.862089608428,315.199916421287,1475.32687870357
"113",52.35262072,7.801808243,-3.654468964,1909.3333,509.239371514921,357.290831736873,1592.48162663504
"114",52.34534297,16.5053288,1.249282411,1909.4167,508.626603041895,396.790281207311,1738.55792648305
"115",52.33820184,26.02638729,-1.064632072,1909.5,508.025337633524,439.999987701125,1669.62945927638
"116",52.33118959,25.01005256,1.758717693,1909.5833,507.43492360103,435.387525186701,1753.73333308828
"117",52.32429918,14.41755244,-1.041897282,1909.6667,506.854768193902,387.315262874521,1670.30669875021
"118",52.31754832,2.288725712,1.593683028,1909.75,506.286362550151,332.270643247233,1748.81716761285
"119",52.31092995,-13.01720783,4.406237565,1909.8333,505.729112235311,262.807264080066,1832.59946578977
"120",52.30443767,-22.44959414,-8.154889043,1909.9167,505.182478385281,219.999981211313,1458.42003528815
"121",52.29808846,-22.44959414,-2.348537261,1910,504.647890673883,219.999981211313,1631.38361338767
"122",52.29187587,-19.79944437,-7.292471981,1910.0833,504.12480602714,232.02723572788,1484.11030457566
"123",52.28579417,-12.13366649,13.14782697,1910.1667,503.612741993283,266.817066353274,2092.99990974029
"124",52.27985946,-1.472729798,9.992827401,1910.25,503.113054152322,315.199916421287,1999.01662473706
"125",52.27406591,7.801808243,2.1240852,1910.3333,502.625251632738,357.290831736873,1764.61715027758
"126",52.26840839,16.5053288,5.126217638,1910.4167,502.148902501274,396.790281207311,1854.04672463008
"127",52.26290206,26.02638729,3.210667707,1910.5,501.685283192274,439.999987701125,1796.98501315728
"128",52.25754164,25.01005256,-1.867635017,1910.5833,501.233949142852,435.387525186701,1645.70905834197
"129",52.25232255,14.41755244,-4.669919982,1910.6667,500.794514728386,387.315262874521,1562.2326771996
"130",52.24725889,2.288725712,4.363972454,1910.75,500.36816713385,332.270643247233,1831.34044375635
"131",52.24234589,-13.01720783,2.174820933,1910.8333,499.954504737097,262.807264080066,1766.12850099256
"132",52.23757946,-22.44959414,4.111969866,1910.9167,499.553183170282,219.999981211313,1823.83361830944
"133",52.23297253,-22.44959414,2.016578667,1911,499.16529110729,219.999981211313,1761.41467214416
"134",52.22852077,-19.79944437,-4.72911759,1911.0833,498.790463972877,232.02723572788,1560.46925836467
"135",52.22422052,-12.13366649,8.609401337,1911.1667,498.428393604132,266.817066353274,1957.80618295719
"136",52.22008346,-1.472729798,-1.247396597,1911.25,498.080063428045,315.199916421287,1664.18514460505
"137",52.21610561,7.801808243,-1.017955236,1911.3333,497.745138338502,357.290831736873,1671.01990079147
"138",52.21228373,16.5053288,2.582343039,1911.4167,497.423345535549,396.790281207311,1778.26804820824
"139",52.2086281,26.02638729,-2.235058336,1911.5,497.115550569653,439.999987701125,1634.76400121876
"140",52.20513512,25.01005256,-4.915229246,1911.5833,496.821450329756,435.387525186701,1554.92523706586
"141",52.20180184,14.41755244,-4.719398518,1911.6667,496.540796433186,387.315262874521,1560.7587767287
"142",52.19863715,2.288725712,-4.887405799,1911.75,496.27433739586,332.270643247233,1555.75406093477
"143",52.19563772,-13.01720783,-3.67847166,1911.8333,496.021792840048,262.807264080066,1591.7666179101
"144",52.19280093,-22.44959414,0.15674917,1911.9167,495.782942168262,219.999981211313,1706.01279906899
"145",52.19013417,-22.44959414,2.459417033,1912,495.558407600143,219.999981211313,1774.60624426705
"146",52.1876344,-19.79944437,3.711767991,1912.0833,495.347933175243,232.02723572788,1811.91213114141
"147",52.18529932,-12.13366649,-11.85167667,1912.1667,495.151325239275,266.817066353274,1348.29759706073
"148",52.18313477,-1.472729798,-0.410447913,1912.25,494.969075505732,315.199916421287,1689.11674442976
"149",52.18113804,7.801808243,-0.782988454,1912.3333,494.800955799347,357.290831736873,1678.01925199772
"150",52.17930708,16.5053288,2.815320477,1912.4167,494.646793515211,396.790281207311,1785.20813947482
"151",52.17764627,26.02638729,-6.104076509,1912.5,494.506957438445,439.999987701125,1519.51104169111
"152",52.17615318,25.01005256,-5.886248115,1912.5833,494.381242969084,435.387525186701,1525.99986287392
"153",52.1748261,14.41755244,-8.892421976,1912.6667,494.269506129376,387.315262874521,1436.44989984899
"154",52.17366791,2.288725712,-6.462436559,1912.75,494.171989408168,332.270643247233,1508.83596742363
"155",52.17267652,-13.01720783,6.244488736,1912.8333,494.08851683265,262.807264080066,1887.35854893169
"156",52.17185057,-22.44959414,3.177700329,1912.9167,494.018973894201,219.999981211313,1796.00295835358
"157",52.17119152,-22.44959414,1.178359681,1913,493.963483521195,219.999981211313,1736.44523169466
"158",52.17069766,-19.79944437,-8.771296062,1913.0833,493.921901735878,232.02723572788,1440.05808141852
"159",52.17036802,-12.13366649,-5.736744577,1913.1667,493.89414686666,266.817066353274,1530.45337651586
"160",52.17020269,-1.472729798,3.002484168,1913.25,493.880226491319,315.199916421287,1790.78349951174
"161",52.17020039,7.801808243,-0.072051609,1913.3333,493.880032837031,357.290831736873,1699.19712497731
"162",52.17036062,16.5053288,0.82426774,1913.4167,493.893523805041,396.790281207311,1725.89729877723
"163",52.17068213,26.02638729,-5.597112362,1913.5,493.920594148453,439.999987701125,1534.61283643684
"164",52.17116415,25.01005256,1.81874013,1913.5833,493.961179035179,435.387525186701,1755.5213224936
"165",52.17180665,14.41755244,1.010598258,1913.6667,494.015275939293,387.315262874521,1731.44783968698
"166",52.17260718,2.288725712,-6.961375837,1913.75,494.082678576882,332.270643247233,1493.97322296423
"167",52.1735655,-13.01720783,5.643598977,1913.8333,494.163366740541,262.807264080066,1869.45883381588
"168",52.17468209,-22.44959414,0.974869584,1913.9167,494.257380845077,219.999981211313,1730.38352950947
"169",52.17595336,-22.44959414,7.773597837,1914,494.36441862141,219.999981211313,1932.90869665671
"170",52.17737962,-19.79944437,-0.377978797,1914.0833,494.484506170769,232.02723572788,1690.08395666421
"171",52.17896195,-12.13366649,4.65466226,1914.1667,494.617734426468,266.817066353274,1839.99971051291
"172",52.18069563,-1.472729798,-0.108008768,1914.25,494.763705976236,315.199916421287,1698.12600853234
