"","esttrend","estseasonal","residseries","Yearfrac"
"1",53.7874098241972,-22.4495941394043,6.26214137504565,1900
"2",53.7715726415123,-19.7994443692906,-4.07216487503513,1900.0833
"3",53.7557167922399,-12.1336664852354,6.07790041565489,1900.1667
"4",53.7398808729472,-1.4727297981467,0.432805984952161,1900.25
"5",53.7240466999418,7.80180824296988,5.07410845251057,1900.3333
"6",53.7081963332966,16.5053287998277,8.88642559219996,1900.4167
"7",53.6923690617189,26.0263872944837,-0.118799296585763,1900.5
"8",53.6765473480256,25.0100525551016,-2.68663651363022,1900.5833
"9",53.6607138545743,14.4175524368793,-1.77831555851579,1900.6667
"10",53.644908347749,2.28872571191695,-0.733677000074501,1900.75
"11",53.6291137648937,-13.0172078290495,0,1900.8333
"12",53.6133131934319,-22.4495941394043,0,1900.9167
"13",53.5975465696588,-22.4495941394043,1.75200462936489,1901
"14",53.5817969928238,-19.7994443692906,-4.18238926526214,1901.0833
"15",53.5660476902165,-12.1336664852354,1.66756956408401,1901.1667
"16",53.5503385731833,-1.4727297981467,-1.5776517154252,1901.25
"17",53.5346529131498,7.80180824296988,4.7635021752974,1901.3333
"18",53.518974105699,16.5053287998277,-6.9243521070084,1901.4167
"19",53.5033419285292,26.0263872944837,4.97022783660674,1901.5
"20",53.4877397275662,25.0100525551016,2.80217101403534,1901.5833
"21",53.472150965794,14.4175524368793,-10.2897525668606,1901.6667
"22",53.4566151254534,2.28872571191695,4.55461622225623,1901.75
"23",53.4411155455483,-13.0172078290495,7.976055537938,1901.8333
"24",53.4256356842307,-22.4495941394043,2.02390933576318,1901.9167
"25",53.4102145989708,-22.4495941394043,-2.76066339989595,1902
"26",53.3948355714737,-19.7994443692906,3.60457200291874,1902.0833
"27",53.3794820133063,-12.1336664852354,-2.6458645958594,1902.1667
"28",53.3641924641004,-1.4727297981467,-1.29150560625423,1902.25
"29",53.3489501291126,7.80180824296988,1.94920477733687,1902.3333
"30",53.3337383619146,16.5053287998277,-1.63911617192969,1902.4167
"31",53.3185951281257,26.0263872944837,-4.44502536294256,1902.5
"32",53.3035035667591,25.0100525551016,-1.51359303368426,1902.5833
"33",53.2884469900978,14.4175524368793,-1.40604837433803,1902.6667
"34",53.2734627680298,2.28872571191695,2.13776857972321,1902.75
"35",53.2585340090009,-13.0172078290495,0.158636842372665,1902.8333
"36",53.243644024647,-22.4495941394043,2.7059012347018,1902.9167
"37",53.228829596621,-22.4495941394043,5.12072160247438,1903
"38",53.2140738583633,-19.7994443692906,-5.31466653658937,1903.0833
"39",53.1993601796409,-12.1336664852354,-2.66574250337631,1903.1667
"40",53.1847247831189,-1.4727297981467,-3.21203792524541,1903.25
"41",53.1701508958702,7.80180824296988,-1.8719962596149,1903.3333
"42",53.1556220157877,16.5053287998277,1.83900044983979,1903.4167
"43",53.1411738486438,26.0263872944837,-7.06760408335998,1903.5
"44",53.1267897894208,25.0100525551016,-0.936879541789622,1903.5833
"45",53.1124535379486,14.4175524368793,-4.13005463186044,1903.6667
"46",53.0982003286021,2.28872571191695,5.41303101921838,1903.75
"47",53.0840137967971,-13.0172078290495,-3.36684324459569,1903.8333
"48",53.069877914714,-22.4495941394043,3.47966764822246,1903.9167
"49",53.0558274851546,-22.4495941394043,1.19372371394115,1904
"50",53.0418464480659,-19.7994443692906,0.257560561562535,1904.0833
"51",53.0279191086001,-12.1336664852354,-5.39430111593528,1904.1667
"52",53.0140798643486,-1.4727297981467,2.15860699350885,1904.25
"53",53.0003130100625,7.80180824296988,-1.60215869898025,1904.3333
"54",52.9866032297101,16.5053287998277,-0.791980434472435,1904.4167
"55",52.9729845227434,26.0263872944837,-2.49941475747457,1904.5
"56",52.9594415715314,25.0100525551016,0.730468337138532,1904.5833
"57",52.9459594667413,14.4175524368793,2.53643978317868,1904.6667
"58",52.9325717941317,2.28872571191695,3.77865955367358,1904.75
"59",52.9192636374234,-13.0172078290495,11.3979065606299,1904.8333
"60",52.9060205027703,-22.4495941394043,4.44352541966451,1904.9167
"61",52.8928755234626,-22.4495941394043,-2.34332432442625,1905
"62",52.8798141797106,-19.7994443692906,-5.78040754110775,1905.0833
"63",52.8668223837987,-12.1336664852354,4.66679598568653,1905.1667
"64",52.853932756635,-1.4727297981467,0.218754101068313,1905.25
"65",52.8411311539173,7.80180824296988,-5.54297723247385,1905.3333
"66",52.8284038694187,16.5053287998277,-4.83378067847029,1905.4167
"67",52.8157829351001,26.0263872944837,0,1905.5
"68",52.8032545495987,25.0100525551016,1.28665494939465,1905.5833
"69",52.7908053550993,14.4175524368793,4.09159431083518,1905.6667
"70",52.7784667106528,2.28872571191695,-5.76723536307533,1905.75
"71",52.7662251200021,-13.0172078290495,2.35094464755186,1905.8333
"72",52.7540675308808,-22.4495941394043,1.49547882885668,1905.9167
"73",52.7420245366835,-22.4495941394043,5.10752666228656,1906
"74",52.7300829031641,-19.7994443692906,2.76932328379567,1906.0833
"75",52.718229842653,-12.1336664852354,-9.98461101451104,1906.1667
"76",52.7064950979005,-1.4727297981467,3.06619175985328,1906.25
"77",52.6948656608954,7.80180824296988,-2.29671221182016,1906.3333
"78",52.6833289742225,16.5053287998277,-4.58870530386179,1906.4167
"79",52.6719138570017,26.0263872944837,1.50165590826177,1906.5
"80",52.6606075016859,25.0100525551016,0,1906.5833
"81",52.6493975690471,14.4175524368793,2.23300259562286,1906.6667
"82",52.6383119556934,2.28872571191695,2.17291939225614,1906.75
"83",52.6273381101296,-13.0172078290495,-2.31016885238898,1906.8333
